player,team,team_abbrev,avg,hits,homeRuns,rbi,stolenBases,obp,slg,ops,atBats,plateAppearances,strikeOuts,baseOnBalls,gamesplayed,PlayerID,scrape_date
Ryan Waldschmidt,Arizona Diamondbacks,ARI,.256,63,3,22,7,.326,.362,.688,246,280,83,22,79,814439,2026-09-14
Austin Hays,San Diego Padres,SD,.256,22,2,11,0,.278,.360,.638,86,90,25,3,31,669720,2026-09-14
Nick Kurtz,Athletics,ATH,.256,90,21,69,7,.396,.483,.879,352,434,141,79,99,701762,2026-09-14
Victor Robles,Seattle Mariners,SEA,.256,34,0,9,10,.315,.308,.623,133,149,22,9,66,645302,2026-09-14
Giancarlo Stanton,New York Yankees,NYY,.256,23,3,14,1,.302,.422,.724,90,96,29,6,24,519317,2026-09-14
Alejandro Osuna,Texas Rangers,TEX,.255,49,1,24,5,.347,.297,.644,192,220,32,19,76,696030,2026-09-14
Bryan Torres,St. Louis Cardinals,STL,.255,38,4,19,2,.323,.369,.692,149,168,33,15,67,663494,2026-09-14
Austin Hedges,Cleveland Guardians,CLE,.255,51,5,23,1,.326,.375,.701,200,228,41,21,77,595978,2026-09-14
Dominic Smith,Atlanta Braves,ATL,.255,67,8,44,0,.312,.376,.688,263,293,46,22,105,642086,2026-09-14
Max Muncy,Los Angeles Dodgers,LAD,.254,114,28,71,2,.352,.498,.850,448,517,130,63,137,571970,2026-09-14
Byron Buxton,Minnesota Twins,MIN,.254,94,25,46,7,.319,.511,.830,370,408,100,30,93,621439,2026-09-14
Nathan Church,St. Louis Cardinals,STL,.254,100,10,50,10,.299,.376,.675,394,429,74,24,130,701675,2026-09-14
Alan Roden,Minnesota Twins,MIN,.254,17,0,10,0,.333,.313,.646,67,79,11,9,28,702176,2026-09-14
Nathaniel Lowe,Cleveland Guardians,CLE,.253,91,17,59,0,.321,.457,.778,359,402,96,37,116,663993,2026-09-14
Ildemaro Vargas,Arizona Diamondbacks,ARI,.253,111,9,67,3,.296,.381,.677,438,469,46,25,132,545121,2026-09-14
Josh Bell,Minnesota Twins,MIN,.253,132,19,86,2,.318,.420,.738,521,579,117,48,142,605137,2026-09-14
Curtis Mead,Boston Red Sox,BOS,.253,72,17,48,6,.353,.498,.851,285,329,63,39,88,678554,2026-09-14
Geraldo Perdomo,Arizona Diamondbacks,ARI,.252,131,9,50,20,.358,.364,.722,519,625,76,85,145,672695,2026-09-14
Zack Gelof,Athletics,ATH,.252,88,18,46,14,.319,.461,.780,349,386,97,29,99,680869,2026-09-14
George Springer,Toronto Blue Jays,TOR,.252,108,15,52,12,.323,.417,.740,429,480,87,43,116,543807,2026-09-14
Paul Goldschmidt,New York Yankees,NYY,.252,83,18,50,1,.314,.458,.772,330,363,85,28,100,502671,2026-09-14
Andrés Chaparro,Washington Nationals,WSH,.251,44,10,36,0,.351,.491,.842,175,202,48,22,75,665953,2026-09-14
A.J. Ewing,New York Mets,NYM,.251,98,9,37,23,.320,.373,.693,391,441,112,40,107,805999,2026-09-14
Bryson Stott,Philadelphia Phillies,PHI,.251,124,10,63,24,.326,.392,.718,495,558,96,54,143,681082,2026-09-14
Mookie Betts,Los Angeles Dodgers,LAD,.250,108,20,62,2,.316,.435,.751,432,475,53,40,111,605141,2026-09-14
Joshua Báez,St. Louis Cardinals,STL,.250,23,7,18,2,.300,.554,.854,92,100,32,4,27,695491,2026-09-14
Caleb Durbin,Boston Red Sox,BOS,.250,118,13,64,18,.332,.386,.718,472,542,75,46,142,702332,2026-09-14
Kyle Farmer,Atlanta Braves,ATL,.250,4,0,3,0,.235,.313,.548,16,17,4,0,13,571657,2026-09-14
Rafael Flores Jr.,Pittsburgh Pirates,PIT,.250,29,8,19,0,.315,.491,.806,116,127,36,11,38,804668,2026-09-14
Gabriel Gonzalez,Minnesota Twins,MIN,.250,2,0,0,0,.455,.250,.705,8,11,2,2,7,694224,2026-09-14
Scott Kingery,Chicago Cubs,CHC,.250,1,0,0,1,.250,.250,.500,4,4,0,0,8,664068,2026-09-14
Eddys Leonard,San Francisco Giants,SF,.250,2,0,0,0,.250,.375,.625,8,8,2,0,3,678760,2026-09-14
Ketel Marte,Arizona Diamondbacks,ARI,.250,128,22,73,4,.318,.441,.759,512,570,82,47,129,606466,2026-09-14
Angel Martínez,Cleveland Guardians,CLE,.250,89,15,53,11,.287,.447,.734,356,382,85,12,105,682657,2026-09-14
Charles McAdoo,Toronto Blue Jays,TOR,.250,21,2,10,2,.297,.345,.642,84,91,23,6,30,807727,2026-09-14
Parker Meadows,Detroit Tigers,DET,.250,9,0,2,3,.308,.333,.641,36,39,10,2,12,678009,2026-09-14
Logan Porter,Los Angeles Angels,LAA,.250,1,0,0,0,.500,.500,1.000,4,6,2,2,3,682515,2026-09-14
Emmanuel Rodriguez,Minnesota Twins,MIN,.250,2,1,1,0,.250,.625,.875,8,8,2,0,2,691181,2026-09-14
Jared Serna,Miami Marlins,MIA,.250,3,0,2,0,.286,.417,.703,12,14,4,1,8,691858,2026-09-14
Luis Urías,Toronto Blue Jays,TOR,.250,13,3,8,0,.322,.481,.803,52,59,10,6,26,649966,2026-09-14
Zac Veen,Colorado Rockies,COL,.250,12,2,11,1,.345,.458,.803,48,57,22,6,26,691728,2026-09-14
Cole Young,Seattle Mariners,SEA,.250,135,17,65,3,.312,.393,.705,540,594,101,38,149,702284,2026-09-14
Matt Olson,Atlanta Braves,ATL,.250,145,39,85,4,.323,.508,.831,581,650,162,62,150,621566,2026-09-14
Travis Bazzana,Cleveland Guardians,CLE,.249,101,12,54,19,.344,.395,.739,405,471,97,54,112,683953,2026-09-14
Tyler Stephenson,Cincinnati Reds,CIN,.249,94,15,53,0,.332,.424,.756,377,431,117,47,119,663886,2026-09-14
Dalton Rushing,Los Angeles Dodgers,LAD,.249,55,12,36,0,.332,.466,.798,221,250,73,23,78,687221,2026-09-14
Jacob Young,Washington Nationals,WSH,.249,99,10,47,18,.316,.389,.705,398,444,75,32,132,696285,2026-09-14
Derek Hill,Philadelphia Phillies,PHI,.249,47,10,30,13,.300,.444,.744,189,206,67,13,109,656537,2026-09-14
Tommy White,Athletics,ATH,.248,40,2,8,0,.265,.317,.582,161,166,28,4,44,695720,2026-09-14
Daylen Lile,Washington Nationals,WSH,.248,140,20,82,15,.301,.431,.732,564,614,121,39,149,695734,2026-09-14
Tim Tawa,Arizona Diamondbacks,ARI,.248,68,10,38,8,.306,.409,.715,274,307,75,24,93,694374,2026-09-14
Jackson Merrill,San Diego Padres,SD,.248,140,25,82,26,.298,.439,.737,565,614,145,39,146,701538,2026-09-14
Alec Bohm,Philadelphia Phillies,PHI,.248,130,15,82,2,.309,.390,.699,525,579,84,40,143,664761,2026-09-14
Blaze Jordan,St. Louis Cardinals,STL,.247,46,3,28,0,.276,.382,.658,186,199,30,7,58,691458,2026-09-14
Tyler Freeman,Colorado Rockies,COL,.247,63,3,23,6,.317,.314,.631,255,288,34,11,79,671289,2026-09-14
